id1,id2,addr1,addr2,interface1,interface2
1,2,fde4:8:00:0102::1,fde4:8:00:0102::2,eth0,eth0
1,3,fde4:8:00:0103::1,fde4:8:00:0103::3,eth1,eth0
1,4,fde4:8:00:0104::1,fde4:8:00:0104::4,eth2,eth0
1,5,fde4:8:00:0105::1,fde4:8:00:0105::5,eth3,eth0
2,3,fde4:8:00:0203::2,fde4:8:00:0203::3,eth1,eth1
2,4,fde4:8:00:0204::2,fde4:8:00:0204::4,eth2,eth1
2,5,fde4:8:00:0205::2,fde4:8:00:0205::5,eth3,eth1
3,6,fde4:8:00:0306::3,fde4:8:00:0306::6,eth2,eth0
3,7,fde4:8:00:0307::3,fde4:8:00:0307::7,eth3,eth0
3,10,fde4:8:00:0310::3,fde4:8:00:0310::10,eth4,eth0
4,8,fde4:8:00:0408::4,fde4:8:00:0408::8,eth2,eth0
4,9,fde4:8:00:0409::4,fde4:8:00:0409::9,eth3,eth0
4,10,fde4:8:00:0410::4,fde4:8:00:0410::10,eth4,eth1
5,6,fde4:8:00:0506::5,fde4:8:00:0506::6,eth2,eth1
5,7,fde4:8:00:0507::5,fde4:8:00:0507::7,eth3,eth1
5,8,fde4:8:00:0508::5,fde4:8:00:0508::8,eth4,eth1
5,9,fde4:8:00:0509::5,fde4:8:00:0509::9,eth5,eth1
